Time,Indoor Temperature(℉),Indoor Humidity(%),Outdoor Temperature(℉),Outdoor Humidity(%),Dew Point(℉),Feels Like(℉),Wind(mph),Gust(mph),Wind Direction(°),ABS Pressure(mmhg),REL Pressure(mmhg),Solar Rad.(w/m2),UVI,Hourly Rain(in),Event Rain(in),Daily Rain(in),Weekly Rain(in),Monthly Rain(in),Yearly Rain(in),Pm2.5(ug/m3)
2023/6/24 11:25,74.7,68,66.0,94,64.0,66.0,1.1,1.1,131,731.6,731.6,170.8,1,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 11:30,74.7,68,66.4,93,64.2,66.4,2.7,3.4,316,731.6,731.6,164.0,1,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 11:35,74.8,68,66.7,94,64.8,66.7,1.8,2.2,112,731.5,731.5,239.1,2,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 11:40,74.8,68,66.7,92,64.4,66.7,3.4,4.5,182,731.5,731.5,212.3,2,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 11:45,74.8,66,66.6,92,64.2,66.6,3.6,4.5,195,731.5,731.5,160.1,1,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 11:50,74.7,68,66.4,92,64.0,66.4,1.8,2.2,91,731.5,731.5,122.8,1,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 11:55,74.8,68,66.4,92,64.0,66.4,0.2,1.1,24,731.5,731.5,137.9,1,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 12:00,74.8,69,66.7,93,64.6,66.7,3.4,4.5,196,731.5,731.5,138.3,1,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 12:05,75.0,68,66.9,92,64.6,66.9,2.2,2.2,287,731.4,731.4,142.3,1,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 12:10,75.0,66,66.9,91,64.2,66.9,2.7,3.4,21,731.2,731.2,107.6,1,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 12:15,75.0,68,67.1,91,64.4,67.1,1.3,2.2,190,731.4,731.4,207.5,2,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 12:20,75.0,69,67.5,91,64.8,67.5,1.8,2.2,335,731.3,731.3,237.6,2,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 12:25,75.2,69,67.6,90,64.6,67.6,1.1,2.2,321,731.3,731.3,151.9,1,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 12:30,75.2,68,67.6,90,64.6,67.6,1.3,2.2,7,731.2,731.2,66.4,0,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 12:35,75.2,67,67.3,91,64.6,67.3,0.4,1.1,38,731.3,731.3,95.0,0,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 12:40,75.2,69,67.5,91,64.8,67.5,1.3,2.2,105,731.2,731.2,211.9,2,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 12:45,75.2,69,67.6,90,64.6,67.6,2.0,2.2,327,731.2,731.2,528.9,5,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 12:50,75.2,69,70.0,86,65.7,70.0,3.4,4.5,231,731.2,731.2,1137.1,11,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 12:55,75.2,66,70.0,85,65.3,70.0,1.3,2.2,301,731.2,731.2,228.8,2,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 13:00,75.2,68,69.4,85,64.8,69.4,2.2,2.2,101,731.3,731.3,252.5,2,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 13:05,75.2,68,69.4,87,65.5,69.4,1.8,3.4,229,731.2,731.2,206.4,2,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 13:10,75.2,66,69.6,88,65.8,69.6,1.1,2.2,52,731.2,731.2,108.5,1,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 13:15,75.2,63,69.8,88,66.0,69.8,1.8,2.2,157,731.2,731.2,249.7,2,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 13:20,75.0,66,70.2,85,65.5,70.2,3.8,4.5,268,731.2,731.2,434.7,4,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 13:25,75.0,66,71.1,82,65.3,71.1,2.0,3.4,11,731.0,731.0,257.0,2,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 13:30,75.0,66,70.3,84,65.3,70.3,1.3,2.2,129,731.0,731.0,67.9,0,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 13:35,75.0,62,69.8,85,65.1,69.8,5.4,6.9,232,731.1,731.1,105.1,1,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 13:40,75.0,65,69.8,85,65.1,69.8,4.9,5.8,273,731.1,731.1,283.6,2,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 13:45,75.0,66,70.3,87,66.4,70.3,3.1,4.5,139,731.0,731.0,588.3,5,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 13:50,75.0,65,71.8,83,66.4,71.8,2.0,3.4,341,730.9,730.9,278.0,2,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 13:55,74.8,63,72.0,83,66.6,72.0,2.7,3.4,137,731.0,731.0,272.6,2,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 14:00,74.8,65,71.4,81,65.3,71.4,1.6,2.2,24,730.9,730.9,448.2,4,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 14:05,75.0,66,71.8,82,66.0,71.8,2.7,4.5,296,731.0,731.0,237.3,2,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 14:10,75.0,66,71.4,82,65.7,71.4,1.6,2.2,23,730.9,730.9,215.6,2,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 14:15,75.0,64,70.7,83,65.3,70.7,1.8,2.2,227,730.9,730.9,243.9,2,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 14:20,75.0,67,71.6,81,65.5,71.6,6.5,8.1,307,731.1,731.1,408.9,3,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 14:25,75.2,67,72.0,80,65.5,72.0,4.5,6.9,297,731.2,731.2,794.8,7,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 14:30,75.2,66,73.2,80,66.7,73.2,1.3,2.2,346,731.0,731.0,647.2,6,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 14:35,75.2,66,72.7,79,65.8,72.7,4.7,6.9,354,731.2,731.2,303.1,2,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 14:40,75.2,67,71.4,83,66.0,71.4,1.6,2.2,19,731.2,731.2,321.8,3,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 14:45,75.4,68,71.8,83,66.4,71.8,2.7,4.5,338,731.0,731.0,481.0,4,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 14:50,75.4,65,72.3,83,66.9,72.3,2.5,3.4,8,731.1,731.1,349.2,3,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 14:55,75.2,66,71.1,83,65.7,71.1,3.4,5.8,301,731.2,731.2,331.7,3,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 15:00,75.4,67,71.2,83,65.8,71.2,6.0,6.9,316,731.0,731.0,296.5,2,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 15:05,75.6,68,71.2,85,66.6,71.2,6.0,6.9,319,731.0,731.0,205.7,2,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 15:10,75.6,65,70.5,85,65.8,70.5,1.8,3.4,325,731.0,731.0,241.2,2,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 15:15,75.4,66,70.7,85,66.0,70.7,2.5,3.4,6,731.0,731.0,372.0,3,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 15:20,75.6,68,71.1,83,65.7,71.1,2.2,3.4,307,731.1,731.1,392.4,3,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 15:25,75.6,68,70.9,85,66.2,70.9,0.9,2.2,66,731.1,731.1,271.9,2,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 15:30,75.6,64,70.5,84,65.5,70.5,6.0,8.1,312,731.1,731.1,412.1,4,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 15:35,75.6,67,70.9,85,66.2,70.9,3.8,4.5,330,731.0,731.0,376.3,3,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 15:40,75.7,68,70.9,83,65.5,70.9,4.9,5.8,300,731.0,731.0,229.4,2,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 15:45,75.7,66,71.1,82,65.3,71.1,2.5,3.4,359,730.9,730.9,425.8,4,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 15:50,75.7,64,71.6,82,65.8,71.6,0.7,2.2,24,730.9,730.9,420.8,4,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 15:55,75.7,67,72.3,81,66.2,72.3,4.7,5.8,331,730.9,730.9,535.7,5,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 16:00,75.9,68,71.4,82,65.7,71.4,2.9,4.5,351,730.9,730.9,310.1,3,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 16:05,75.9,65,73.6,78,66.4,73.6,0.4,1.1,33,730.8,730.8,537.0,5,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 16:10,75.7,65,73.6,80,67.1,73.6,2.2,3.4,83,730.9,730.9,258.1,2,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 16:15,75.7,67,73.4,77,65.7,73.4,4.0,4.5,296,730.7,730.7,479.1,4,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 16:20,75.9,67,73.4,78,66.2,73.4,1.8,2.2,354,730.9,730.9,388.0,3,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 16:25,75.9,64,74.3,76,66.2,74.3,0.9,1.1,348,730.7,730.7,451.6,4,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 16:30,75.7,65,74.3,74,65.5,74.3,4.7,5.8,294,730.8,730.8,459.6,4,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 16:35,75.7,67,74.5,76,66.4,74.5,2.7,4.5,313,730.8,730.8,474.0,4,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 16:40,75.9,65,74.7,76,66.6,74.7,0.7,1.1,345,730.7,730.7,425.3,4,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 16:45,75.7,63,75.4,77,67.6,75.4,3.1,3.4,297,730.8,730.8,432.3,4,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 16:50,75.7,66,75.9,71,65.8,75.9,1.8,2.2,346,730.7,730.7,438.6,4,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 16:55,75.9,67,75.9,72,66.2,75.9,3.4,4.5,340,730.7,730.7,157.3,1,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 17:00,75.9,64,74.7,75,66.2,74.7,2.5,3.4,227,730.7,730.7,572.5,5,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 17:05,75.9,63,76.6,69,65.7,76.6,5.4,8.1,267,730.6,730.6,409.5,3,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 17:10,75.9,66,74.7,76,66.6,74.7,3.6,4.5,0,730.6,730.6,545.4,5,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 17:15,76.1,67,75.0,73,65.8,75.0,3.1,3.4,17,730.6,730.6,492.0,4,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 17:20,75.9,64,74.5,73,65.3,74.5,3.4,5.8,31,730.8,730.8,520.3,5,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 17:25,75.7,63,75.6,74,66.7,75.6,0.7,1.1,26,730.7,730.7,178.3,1,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 17:30,75.9,66,77.2,72,67.5,77.2,2.9,3.4,359,730.8,730.8,487.1,4,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 17:35,76.1,65,75.9,70,65.5,75.9,6.0,9.2,341,730.8,730.8,212.2,2,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 17:40,75.9,63,75.6,72,65.8,75.6,0.9,1.1,354,730.6,730.6,136.4,1,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 17:45,75.9,65,75.7,74,66.9,75.7,2.5,3.4,359,730.8,730.8,482.1,4,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 17:50,75.9,66,77.2,70,66.7,77.2,1.8,2.2,72,730.9,730.9,184.5,1,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 17:55,75.9,63,77.2,68,65.8,77.2,3.8,4.5,351,730.6,730.6,156.7,1,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 18:00,75.9,62,74.8,72,65.1,74.8,2.2,2.2,345,730.6,730.6,105.9,1,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 18:05,75.9,65,75.4,72,65.7,75.4,1.8,3.4,96,730.6,730.6,109.2,1,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 18:10,76.1,66,74.7,72,64.9,74.7,0.2,1.1,19,730.6,730.6,385.9,3,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 18:15,76.1,62,75.7,68,64.4,75.7,5.4,6.9,303,730.6,730.6,356.6,3,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 18:20,75.9,64,75.7,68,64.4,75.7,3.1,3.4,323,730.7,730.7,339.9,3,0.00,0.02,0.05,0.20,0.20,0.20,--
2023/6/24 18:25,76.1,65,76.3,69,65.3,76.3,2.9,4.5,339,730.6,730.6,332.0,3,0.00,0.02,0.05,0.20,0.20,0.20,--
