Time,Indoor Temperature(℉),Indoor Humidity(%),Outdoor Temperature(℉),Outdoor Humidity(%),Dew Point(℉),Feels Like(℉),Wind(mph),Gust(mph),Wind Direction(°),ABS Pressure(mmhg),REL Pressure(mmhg),Solar Rad.(w/m2),UVI,Hourly Rain(in),Event Rain(in),Daily Rain(in),Weekly Rain(in),Monthly Rain(in),Yearly Rain(in),Pm2.5(ug/m3)
2023/6/23 10:10,73.8,66,64.6,91,61.9,64.6,0.0,0.0,60,731.8,731.8,163.6,1,0.00,0.14,0.14,0.15,0.15,0.15,--
2023/6/23 10:15,73.9,66,64.8,92,62.4,64.8,0.0,0.0,72,731.9,731.9,248.4,2,0.00,0.14,0.14,0.15,0.15,0.15,--
2023/6/23 10:20,73.9,66,65.1,90,62.1,65.1,0.9,1.1,65,731.9,731.9,275.1,2,0.00,0.14,0.14,0.15,0.15,0.15,--
2023/6/23 10:25,73.9,64,65.7,90,62.6,65.7,0.0,0.0,63,731.8,731.8,345.7,3,0.00,0.14,0.14,0.15,0.15,0.15,--
2023/6/23 10:30,73.9,66,66.4,88,62.6,66.4,1.1,2.2,38,731.9,731.9,382.7,3,0.00,0.14,0.14,0.15,0.15,0.15,--
2023/6/23 10:35,74.1,67,66.6,86,62.2,66.6,1.3,2.2,66,731.9,731.9,248.2,2,0.00,0.14,0.14,0.15,0.15,0.15,--
2023/6/23 10:40,74.1,67,66.7,87,62.8,66.7,0.9,1.1,49,731.8,731.8,352.3,3,0.00,0.14,0.14,0.15,0.15,0.15,--
2023/6/23 10:45,74.1,64,66.4,88,62.6,66.4,0.0,0.0,70,731.8,731.8,142.8,1,0.00,0.14,0.14,0.15,0.15,0.15,--
2023/6/23 10:50,74.1,66,66.0,88,62.2,66.0,0.7,1.1,64,731.9,731.9,292.0,2,0.00,0.14,0.14,0.15,0.15,0.15,--
2023/6/23 10:55,74.1,67,66.0,90,63.0,66.0,0.7,1.1,55,731.8,731.8,173.7,1,0.00,0.14,0.14,0.15,0.15,0.15,--
2023/6/23 11:00,74.3,67,66.0,89,62.6,66.0,0.0,0.0,55,731.8,731.8,138.3,1,0.00,0.14,0.14,0.15,0.15,0.15,--
2023/6/23 11:05,74.3,64,65.8,91,63.1,65.8,0.9,1.1,56,731.8,731.8,136.3,1,0.00,0.14,0.14,0.15,0.15,0.15,--
2023/6/23 11:10,74.3,66,66.0,89,62.6,66.0,0.9,2.2,61,731.9,731.9,247.9,2,0.00,0.14,0.14,0.15,0.15,0.15,--
2023/6/23 11:15,74.3,66,66.2,89,62.8,66.2,1.3,2.2,79,731.9,731.9,173.6,1,0.00,0.14,0.14,0.15,0.15,0.15,--
2023/6/23 11:20,74.3,66,66.2,89,62.8,66.2,0.0,0.0,71,731.8,731.8,219.6,2,0.00,0.14,0.14,0.15,0.15,0.15,--
2023/6/23 11:25,74.3,63,66.7,89,63.3,66.7,0.2,1.1,46,731.8,731.8,269.1,2,0.00,0.14,0.14,0.15,0.15,0.15,--
2023/6/23 11:30,74.3,66,67.1,88,63.3,67.1,0.2,1.1,71,732.0,732.0,278.8,2,0.00,0.14,0.14,0.15,0.15,0.15,--
2023/6/23 11:35,74.3,66,68.4,83,63.0,68.4,1.1,1.1,71,732.1,732.1,495.1,4,0.00,0.14,0.14,0.15,0.15,0.15,--
2023/6/23 11:40,74.5,66,69.4,82,63.7,69.4,1.3,3.4,90,732.1,732.1,412.5,4,0.00,0.14,0.14,0.15,0.15,0.15,--
2023/6/23 11:45,74.3,63,68.5,83,63.1,68.5,2.0,2.2,48,731.9,731.9,318.4,3,0.00,0.14,0.14,0.15,0.15,0.15,--
2023/6/23 11:50,74.3,65,68.0,82,62.2,68.0,0.7,1.1,68,731.8,731.8,229.4,2,0.00,0.14,0.14,0.15,0.15,0.15,--
2023/6/23 11:55,74.3,66,68.0,84,63.0,68.0,1.1,1.1,69,731.9,731.9,200.2,1,0.00,0.14,0.14,0.15,0.15,0.15,--
2023/6/23 12:00,74.3,66,68.0,82,62.2,68.0,0.9,1.1,74,731.9,731.9,210.3,2,0.00,0.14,0.14,0.15,0.15,0.15,--
2023/6/23 12:05,74.3,62,68.5,85,63.9,68.5,0.0,0.0,45,731.8,731.8,315.3,3,0.00,0.14,0.14,0.15,0.15,0.15,--
2023/6/23 12:10,74.3,65,69.1,83,63.7,69.1,1.3,2.2,339,731.9,731.9,466.5,4,0.00,0.14,0.14,0.15,0.15,0.15,--
2023/6/23 12:15,74.3,66,69.3,80,62.8,69.3,0.2,1.1,66,731.8,731.8,269.6,2,0.00,0.14,0.14,0.15,0.15,0.15,--
2023/6/23 12:20,74.5,66,68.9,82,63.1,68.9,0.0,0.0,67,731.8,731.8,204.0,1,0.00,0.14,0.14,0.15,0.15,0.15,--
2023/6/23 12:25,74.3,62,69.3,82,63.5,69.3,0.2,1.1,70,731.8,731.8,196.6,1,0.00,0.14,0.14,0.15,0.15,0.15,--
2023/6/23 12:30,74.3,65,69.8,82,64.0,69.8,0.0,0.0,70,731.8,731.8,289.6,2,0.00,0.14,0.14,0.15,0.15,0.15,--
