Time,Indoor Temperature(℉),Indoor Humidity(%),Outdoor Temperature(℉),Outdoor Humidity(%),Dew Point(℉),Feels Like(℉),Wind(mph),Gust(mph),Wind Direction(°),ABS Pressure(inhg),REL Pressure(inhg),Solar Rad.(w/m2),UVI,Hourly Rain(in),Event Rain(in),Daily Rain(in),Weekly Rain(in),Monthly Rain(in),Yearly Rain(in),Pm2.5(ug/m3)
2023/7/18 10:28,74.8,65,72.1,77,64.6,72.1,1.1,2.2,49,28.88,28.88,205.8,2,0.00,0.00,0.00,0.00,0.78,1.34,38
2023/7/18 10:29,74.7,65,72.0,75,63.7,72.0,2.2,2.2,300,28.88,28.88,228.9,2,0.00,0.00,0.00,0.00,0.78,1.34,38
2023/7/18 10:30,74.7,67,71.6,75,63.3,71.6,2.5,3.4,295,28.88,28.88,236.2,2,0.00,0.00,0.00,0.00,0.78,1.34,38
2023/7/18 10:31,74.7,68,71.1,77,63.5,71.1,3.4,3.4,214,28.87,28.87,475.2,4,0.00,0.00,0.00,0.00,0.78,1.34,38
2023/7/18 10:32,74.7,69,70.9,78,63.7,70.9,2.5,3.4,244,28.87,28.87,178.9,1,0.00,0.00,0.00,0.00,0.78,1.34,38
2023/7/18 10:33,74.8,69,70.9,80,64.4,70.9,0.4,1.1,51,28.88,28.88,160.9,1,0.00,0.00,0.00,0.00,0.78,1.34,38
2023/7/18 10:34,74.8,69,70.9,78,63.7,70.9,0.4,1.1,47,28.88,28.88,154.4,1,0.00,0.00,0.00,0.00,0.78,1.34,38
2023/7/18 10:35,74.8,69,70.9,78,63.7,70.9,1.3,2.2,248,28.87,28.87,148.7,1,0.00,0.00,0.00,0.00,0.78,1.34,38
2023/7/18 10:36,74.8,69,71.1,78,63.9,71.1,2.5,3.4,328,28.88,28.88,151.3,1,0.00,0.00,0.00,0.00,0.78,1.34,33
2023/7/18 10:37,74.8,69,70.9,80,64.4,70.9,2.7,3.4,292,28.88,28.88,147.9,1,0.00,0.00,0.00,0.00,0.78,1.34,33
2023/7/18 10:38,74.8,69,70.5,80,64.0,70.5,1.1,2.2,212,28.88,28.88,150.1,1,0.00,0.00,0.00,0.00,0.78,1.34,33
2023/7/18 10:39,74.8,69,70.3,81,64.2,70.3,0.7,1.1,215,28.88,28.88,155.5,1,0.00,0.00,0.00,0.00,0.78,1.34,33
2023/7/18 10:40,74.8,70,70.3,80,63.9,70.3,0.9,1.1,39,28.88,28.88,174.7,1,0.00,0.00,0.00,0.00,0.78,1.34,33
2023/7/18 10:41,74.8,69,70.3,80,63.9,70.3,0.9,1.1,37,28.88,28.88,209.7,2,0.00,0.00,0.00,0.00,0.78,1.34,33
2023/7/18 10:42,75.0,70,70.2,81,64.0,70.2,0.2,1.1,37,28.88,28.88,543.0,5,0.00,0.00,0.00,0.00,0.78,1.34,33
2023/7/18 10:43,75.0,67,70.3,80,63.9,70.3,1.3,2.2,34,28.88,28.88,540.5,5,0.00,0.00,0.00,0.00,0.78,1.34,33
2023/7/18 10:44,75.0,66,70.9,83,65.5,70.9,1.3,2.2,34,28.88,28.88,560.4,5,0.00,0.00,0.00,0.00,0.78,1.34,33
2023/7/18 10:45,75.0,66,71.2,81,65.1,71.2,0.7,1.1,71,28.88,28.88,559.3,5,0.00,0.00,0.00,0.00,0.78,1.34,33
2023/7/18 10:46,74.8,66,72.1,76,64.2,72.1,1.8,2.2,109,28.88,28.88,574.4,5,0.00,0.00,0.00,0.00,0.78,1.34,31
2023/7/18 10:47,74.8,65,72.9,76,64.9,72.9,0.7,1.1,89,28.88,28.88,579.9,5,0.00,0.00,0.00,0.00,0.78,1.34,31
2023/7/18 10:48,74.8,66,73.2,79,66.4,73.2,0.9,1.1,91,28.89,28.89,275.4,2,0.00,0.00,0.00,0.00,0.78,1.34,31
2023/7/18 10:49,74.8,68,73.4,74,64.6,73.4,3.1,3.4,230,28.89,28.89,221.6,2,0.00,0.00,0.00,0.00,0.78,1.34,31
2023/7/18 10:50,74.8,68,73.4,75,65.1,73.4,2.5,3.4,222,28.89,28.89,235.1,2,0.00,0.00,0.00,0.00,0.78,1.34,31
2023/7/18 10:51,74.8,69,72.5,80,66.0,72.5,0.7,1.1,206,28.89,28.89,280.4,2,0.00,0.00,0.00,0.00,0.78,1.34,31
2023/7/18 10:52,74.8,69,72.0,77,64.4,72.0,0.2,1.1,205,28.88,28.88,486.4,4,0.00,0.00,0.00,0.00,0.78,1.34,31
2023/7/18 10:53,74.8,70,72.3,75,64.0,72.3,1.3,2.2,99,28.88,28.88,522.2,5,0.00,0.00,0.00,0.00,0.78,1.34,31
2023/7/18 10:54,75.0,69,72.7,75,64.4,72.7,2.5,4.5,345,28.89,28.89,349.4,3,0.00,0.00,0.00,0.00,0.78,1.34,31
2023/7/18 10:55,75.0,70,72.9,67,61.3,72.9,4.5,5.8,350,28.89,28.89,540.1,5,0.00,0.00,0.00,0.00,0.78,1.34,31
2023/7/18 10:56,75.0,70,72.7,70,62.4,72.7,5.4,5.8,337,28.88,28.88,549.8,5,0.00,0.00,0.00,0.00,0.78,1.34,23
2023/7/18 10:57,75.0,70,72.1,72,62.6,72.1,2.2,3.4,33,28.89,28.89,566.4,5,0.00,0.00,0.00,0.00,0.78,1.34,23
2023/7/18 10:58,75.2,70,72.1,72,62.6,72.1,2.7,3.4,359,28.89,28.89,562.0,5,0.00,0.00,0.00,0.00,0.78,1.34,23
2023/7/18 10:59,75.2,70,72.1,70,61.9,72.1,0.7,1.1,99,28.88,28.88,543.5,5,0.00,0.00,0.00,0.00,0.78,1.34,23
2023/7/18 11:00,75.2,70,72.9,71,63.0,72.9,2.5,3.4,337,28.89,28.89,518.0,5,0.00,0.00,0.00,0.00,0.78,1.34,23
2023/7/18 11:01,75.2,70,73.2,68,62.1,73.2,3.4,4.5,17,28.89,28.89,229.6,2,0.00,0.00,0.00,0.00,0.78,1.34,23
2023/7/18 11:02,75.2,67,73.2,68,62.1,73.2,2.5,4.5,229,28.89,28.89,240.6,2,0.00,0.00,0.00,0.00,0.78,1.34,23
2023/7/18 11:03,75.2,66,72.7,69,61.9,72.7,1.8,2.2,181,28.89,28.89,555.3,5,0.00,0.00,0.00,0.00,0.78,1.34,23
