Time,Indoor Temperature(℉),Indoor Humidity(%),Outdoor Temperature(℉),Outdoor Humidity(%),Dew Point(℉),Feels Like(℉),Wind(mph),Gust(mph),Wind Direction(°),ABS Pressure(mmhg),REL Pressure(mmhg),Solar Rad.(w/m2),UVI,Hourly Rain(in),Event Rain(in),Daily Rain(in),Weekly Rain(in),Monthly Rain(in),Yearly Rain(in),Pm2.5(ug/m3)
2023/6/27 10:55,75.6,67,66.0,91,63.3,66.0,5.8,8.1,243,725.8,725.8,266.8,2,0.00,0.14,0.03,0.16,0.36,0.36,--
2023/6/27 11:00,75.4,66,66.9,88,63.1,66.9,6.9,9.2,201,725.5,725.5,309.5,3,0.00,0.14,0.03,0.16,0.36,0.36,--
2023/6/27 11:05,75.4,66,67.3,88,63.5,67.3,5.1,6.9,180,725.6,725.6,288.0,2,0.00,0.14,0.03,0.16,0.36,0.36,--
2023/6/27 11:10,75.2,66,68.5,86,64.2,68.5,3.1,5.8,234,725.7,725.7,447.2,4,0.00,0.14,0.03,0.16,0.36,0.36,--
2023/6/27 11:15,75.2,66,68.5,86,64.2,68.5,4.9,6.9,211,725.6,725.6,209.4,2,0.00,0.14,0.03,0.16,0.36,0.36,--
2023/6/27 11:20,75.2,67,67.5,87,63.5,67.5,7.2,10.3,224,725.7,725.7,170.1,1,0.00,0.14,0.03,0.16,0.36,0.36,--
2023/6/27 11:25,75.2,67,66.7,89,63.3,66.7,3.6,4.5,250,726.1,726.1,120.6,1,0.00,0.14,0.03,0.16,0.36,0.36,--
2023/6/27 11:30,75.2,67,66.7,89,63.3,66.7,3.1,5.8,231,726.0,726.0,187.2,1,0.00,0.14,0.03,0.16,0.36,0.36,--
2023/6/27 11:35,75.2,68,67.3,88,63.5,67.3,4.5,8.1,163,725.9,725.9,323.1,3,0.00,0.14,0.03,0.16,0.36,0.36,10
2023/6/27 11:40,75.7,67,67.3,89,63.9,67.3,2.2,3.4,155,726.1,726.1,167.3,1,0.00,0.14,0.03,0.16,0.36,0.36,8
2023/6/27 11:44,76.5,66,66.7,89,63.3,66.7,2.9,3.4,189,726.0,726.0,129.5,1,0.00,0.00,0.03,0.16,0.36,0.36,--
2023/6/27 11:45,76.6,67,66.6,89,63.1,66.6,5.6,8.1,207,726.1,726.1,121.8,1,0.00,0.00,0.03,0.16,0.36,0.36,--
2023/6/27 11:46,76.6,65,66.6,89,63.1,66.6,4.3,5.8,207,726.0,726.0,87.1,0,0.00,0.00,0.03,0.16,0.36,0.36,--
