Time,Indoor Temperature(℉),Indoor Humidity(%),Outdoor Temperature(℉),Outdoor Humidity(%),Dew Point(℉),Feels Like(℉),Wind(mph),Gust(mph),Wind Direction(°),ABS Pressure(inhg),REL Pressure(inhg),Solar Rad.(w/m2),UVI,Hourly Rain(in),Event Rain(in),Daily Rain(in),Weekly Rain(in),Monthly Rain(in),Yearly Rain(in),Pm2.5(ug/m3)
2023/7/1 9:55,76.1,69,76.8,82,70.9,76.8,1.8,2.2,271,28.80,28.80,398.9,3,0.00,0.32,0.32,0.68,0.32,0.88,14
2023/7/1 9:56,76.1,70,77.0,82,71.1,77.0,1.3,2.2,272,28.80,28.80,405.1,3,0.00,0.32,0.32,0.68,0.32,0.88,14
2023/7/1 9:57,76.1,70,77.0,82,71.1,77.0,1.1,1.1,232,28.80,28.80,414.8,4,0.00,0.32,0.32,0.68,0.32,0.88,10
2023/7/1 9:58,76.3,70,77.4,85,72.5,77.4,1.3,2.2,87,28.81,28.81,379.7,3,0.00,0.32,0.32,0.68,0.32,0.88,10
2023/7/1 9:59,76.3,70,77.5,86,73.0,77.5,0.9,1.1,85,28.80,28.80,395.8,3,0.00,0.32,0.32,0.68,0.32,0.88,10
2023/7/1 10:00,76.3,70,77.9,82,72.0,77.9,1.8,2.2,146,28.80,28.80,414.6,4,0.00,0.32,0.32,0.68,0.32,0.88,10
2023/7/1 10:01,76.3,70,78.1,80,71.4,78.1,1.3,2.2,29,28.80,28.80,425.0,4,0.00,0.32,0.32,0.68,0.32,0.88,10
2023/7/1 10:02,76.3,70,78.1,79,71.1,78.1,3.4,4.5,293,28.80,28.80,381.9,3,0.00,0.32,0.32,0.68,0.32,0.88,10
2023/7/1 10:03,76.3,70,78.1,80,71.4,78.1,1.1,1.1,85,28.81,28.81,363.3,3,0.00,0.32,0.32,0.68,0.32,0.88,10
2023/7/1 10:04,76.3,69,77.7,79,70.7,77.7,2.2,3.4,192,28.80,28.80,367.3,3,0.00,0.32,0.32,0.68,0.32,0.88,10
2023/7/1 10:05,76.3,68,77.7,80,71.1,77.7,2.5,3.4,175,28.80,28.80,366.4,3,0.00,0.32,0.32,0.68,0.32,0.88,10
2023/7/1 10:06,76.3,68,77.5,81,71.2,77.5,2.7,3.4,303,28.81,28.81,369.6,3,0.00,0.32,0.32,0.68,0.32,0.88,10
2023/7/1 10:07,76.1,67,77.5,81,71.2,77.5,1.1,1.1,342,28.81,28.81,380.4,3,0.00,0.32,0.32,0.68,0.32,0.88,13
2023/7/1 10:08,76.1,67,77.5,80,70.9,77.5,1.3,2.2,10,28.81,28.81,372.5,3,0.00,0.32,0.32,0.68,0.32,0.88,13
2023/7/1 10:09,76.1,68,78.1,80,71.4,78.1,1.3,2.2,19,28.80,28.80,394.1,3,0.00,0.32,0.32,0.68,0.32,0.88,13
2023/7/1 10:10,76.1,68,78.1,79,71.1,78.1,0.7,1.1,0,28.81,28.81,392.6,3,0.00,0.32,0.32,0.68,0.32,0.88,13
2023/7/1 10:11,76.1,69,78.4,79,71.4,78.4,2.2,2.2,231,28.80,28.80,402.0,3,0.00,0.32,0.32,0.68,0.32,0.88,13
2023/7/1 10:12,76.1,69,78.4,80,71.8,78.4,0.2,1.1,194,28.80,28.80,399.9,3,0.00,0.32,0.32,0.68,0.32,0.88,13
2023/7/1 10:13,76.1,69,78.4,78,71.1,78.4,1.3,2.2,147,28.81,28.81,384.9,3,0.00,0.32,0.32,0.68,0.32,0.88,13
2023/7/1 10:14,76.1,69,78.6,79,71.6,78.6,0.0,0.0,147,28.81,28.81,367.8,3,0.00,0.32,0.32,0.68,0.32,0.88,13
2023/7/1 10:15,76.1,69,78.8,83,73.2,78.8,0.9,1.1,146,28.80,28.80,371.6,3,0.00,0.32,0.32,0.68,0.32,0.88,13
2023/7/1 10:16,76.3,70,79.0,80,72.3,79.0,0.4,1.1,146,28.80,28.80,368.0,3,0.00,0.32,0.32,0.68,0.32,0.88,13
2023/7/1 10:17,76.3,70,79.2,80,72.5,79.2,0.2,1.1,146,28.81,28.81,403.0,3,0.00,0.32,0.32,0.68,0.32,0.88,11
2023/7/1 10:18,76.3,70,79.3,80,72.7,79.3,3.4,4.5,292,28.81,28.81,409.3,3,0.00,0.32,0.32,0.68,0.32,0.88,11
2023/7/1 10:19,76.3,70,79.3,78,72.0,79.3,3.4,3.4,283,28.80,28.80,432.5,4,0.00,0.32,0.32,0.68,0.32,0.88,11
2023/7/1 10:20,76.3,70,78.6,78,71.2,78.6,2.5,3.4,224,28.80,28.80,438.4,4,0.00,0.32,0.32,0.68,0.32,0.88,11
2023/7/1 10:21,76.3,70,78.4,81,72.1,78.4,2.5,3.4,284,28.80,28.80,430.2,4,0.00,0.32,0.32,0.68,0.32,0.88,11
2023/7/1 10:22,76.3,70,78.4,78,71.1,78.4,3.4,3.4,251,28.81,28.81,379.3,3,0.00,0.32,0.32,0.68,0.32,0.88,11
2023/7/1 10:23,76.3,69,78.3,78,70.9,78.3,3.6,4.5,277,28.80,28.80,332.8,3,0.00,0.32,0.32,0.68,0.32,0.88,11
2023/7/1 10:24,76.3,68,78.3,81,72.0,78.3,1.8,2.2,290,28.80,28.80,304.7,2,0.00,0.32,0.32,0.68,0.32,0.88,11
2023/7/1 10:25,76.3,68,78.3,81,72.0,78.3,1.1,2.2,302,28.80,28.80,327.7,3,0.00,0.32,0.32,0.68,0.32,0.88,11
2023/7/1 10:26,76.3,67,78.6,80,72.0,78.6,1.3,2.2,302,28.80,28.80,333.2,3,0.00,0.32,0.32,0.68,0.32,0.88,11
2023/7/1 10:27,76.3,67,78.6,76,70.5,78.6,1.3,2.2,285,28.81,28.81,339.5,3,0.00,0.32,0.32,0.68,0.32,0.88,11
2023/7/1 10:28,76.1,68,78.8,76,70.7,78.8,2.5,3.4,221,28.81,28.81,360.5,3,0.00,0.32,0.32,0.68,0.32,0.88,11
2023/7/1 10:29,76.1,68,78.8,81,72.5,78.8,0.7,1.1,120,28.81,28.81,376.2,3,0.00,0.32,0.32,0.68,0.32,0.88,11
2023/7/1 10:30,76.3,69,79.0,76,70.7,79.0,1.6,2.2,51,28.81,28.81,368.3,3,0.00,0.32,0.32,0.68,0.32,0.88,11
2023/7/1 10:31,76.1,69,79.2,79,72.1,79.2,2.2,3.4,203,28.81,28.81,377.3,3,0.00,0.32,0.32,0.68,0.32,0.88,11
2023/7/1 10:32,76.3,69,79.2,76,70.9,79.2,2.7,3.4,256,28.81,28.81,375.1,3,0.00,0.32,0.32,0.68,0.32,0.88,11
2023/7/1 10:33,76.3,69,79.2,76,70.9,79.2,2.2,2.2,319,28.81,28.81,368.9,3,0.00,0.32,0.32,0.68,0.32,0.88,11
2023/7/1 10:34,76.3,70,79.2,80,72.5,79.2,1.1,1.1,13,28.81,28.81,393.4,3,0.00,0.32,0.32,0.68,0.32,0.88,11
2023/7/1 10:35,76.3,70,79.2,76,70.9,79.2,1.6,2.2,350,28.80,28.80,410.7,4,0.00,0.32,0.32,0.68,0.32,0.88,11
2023/7/1 10:36,76.3,70,79.7,76,71.4,79.7,2.2,2.2,286,28.81,28.81,421.6,4,0.00,0.32,0.32,0.68,0.32,0.88,11
2023/7/1 10:37,76.3,70,79.7,81,73.4,79.7,1.6,2.2,287,28.81,28.81,402.7,3,0.00,0.32,0.32,0.68,0.32,0.88,8
2023/7/1 10:38,76.5,70,79.9,76,71.6,79.9,0.9,2.2,257,28.81,28.81,440.3,4,0.00,0.32,0.32,0.68,0.32,0.88,8
2023/7/1 10:39,76.5,70,80.1,78,72.7,84.0,1.1,1.1,257,28.81,28.81,474.9,4,0.00,0.32,0.32,0.68,0.32,0.88,8
2023/7/1 10:40,76.5,71,80.2,74,71.2,83.8,1.1,2.2,210,28.82,28.82,485.9,4,0.00,0.32,0.32,0.68,0.32,0.88,8
2023/7/1 10:41,76.5,71,80.6,76,72.3,84.7,1.8,2.2,257,28.81,28.81,499.3,4,0.00,0.32,0.32,0.68,0.32,0.88,8
2023/7/1 10:42,76.5,70,80.6,75,72.0,84.7,0.7,1.1,257,28.81,28.81,495.5,4,0.00,0.32,0.32,0.68,0.32,0.88,8
2023/7/1 10:43,76.6,69,80.8,75,72.1,85.1,2.2,2.2,182,28.81,28.81,412.6,4,0.00,0.32,0.32,0.68,0.32,0.88,8
2023/7/1 10:44,76.5,68,80.8,75,72.1,85.1,1.8,2.2,147,28.82,28.82,295.3,2,0.00,0.32,0.32,0.68,0.32,0.88,8
2023/7/1 10:45,76.5,67,80.8,74,71.8,84.9,1.3,2.2,170,28.82,28.82,490.1,4,0.00,0.32,0.32,0.68,0.32,0.88,8
2023/7/1 10:46,76.5,67,80.4,76,72.1,84.4,1.1,1.1,201,28.82,28.82,474.3,4,0.00,0.32,0.32,0.68,0.32,0.88,8
2023/7/1 10:47,76.3,66,80.4,75,71.8,84.4,0.7,1.1,201,28.82,28.82,493.2,4,0.00,0.32,0.32,0.68,0.32,0.88,7
2023/7/1 10:48,76.3,67,80.6,72,70.7,84.2,3.8,4.5,270,28.82,28.82,530.0,5,0.00,0.32,0.32,0.68,0.32,0.88,7
2023/7/1 10:49,76.3,68,80.4,73,71.1,84.0,2.9,3.4,271,28.82,28.82,491.1,4,0.00,0.32,0.32,0.68,0.32,0.88,7
2023/7/1 10:50,76.3,68,80.1,74,71.1,83.7,2.9,3.4,237,28.82,28.82,466.8,4,0.00,0.32,0.32,0.68,0.32,0.88,7
2023/7/1 10:51,76.3,69,79.9,74,70.9,79.9,2.5,3.4,201,28.82,28.82,461.6,4,0.00,0.32,0.32,0.68,0.32,0.88,7
2023/7/1 10:52,76.3,69,79.7,75,71.2,79.7,2.5,3.4,227,28.82,28.82,515.3,5,0.00,0.32,0.32,0.68,0.32,0.88,7
2023/7/1 10:53,76.5,69,79.9,75,71.2,79.9,2.0,2.2,298,28.82,28.82,525.5,5,0.00,0.32,0.32,0.68,0.32,0.88,7
2023/7/1 10:54,76.5,69,80.2,75,71.6,83.8,1.8,3.4,29,28.82,28.82,412.2,4,0.00,0.32,0.32,0.68,0.32,0.88,7
2023/7/1 10:55,76.5,70,80.2,74,71.2,83.8,2.2,3.4,111,28.82,28.82,453.4,4,0.00,0.32,0.32,0.68,0.32,0.88,7
2023/7/1 10:56,76.5,70,80.2,75,71.6,83.8,0.9,1.1,220,28.82,28.82,464.2,4,0.00,0.32,0.32,0.68,0.32,0.88,7
2023/7/1 10:57,76.5,70,80.2,75,71.6,83.8,2.5,3.4,273,28.82,28.82,478.7,4,0.00,0.32,0.32,0.68,0.32,0.88,8
2023/7/1 10:58,76.5,70,80.4,75,71.8,84.4,3.6,5.8,259,28.82,28.82,511.7,4,0.00,0.32,0.32,0.68,0.32,0.88,8
2023/7/1 10:59,76.6,70,80.4,75,71.8,84.4,2.9,3.4,321,28.82,28.82,520.3,5,0.00,0.32,0.32,0.68,0.32,0.88,8
2023/7/1 11:00,76.6,70,80.2,75,71.6,83.8,1.3,2.2,287,28.82,28.82,513.5,5,0.00,0.32,0.32,0.68,0.32,0.88,8
2023/7/1 11:01,76.6,70,80.2,75,71.6,83.8,2.9,3.4,227,28.82,28.82,510.2,4,0.00,0.32,0.32,0.68,0.32,0.88,8
2023/7/1 11:02,76.6,69,80.2,75,71.6,83.8,0.9,1.1,289,28.82,28.82,511.4,4,0.00,0.32,0.32,0.68,0.32,0.88,8
2023/7/1 11:03,76.6,68,80.4,75,71.8,84.4,2.9,4.5,274,28.83,28.83,554.7,5,0.00,0.32,0.32,0.68,0.32,0.88,8
2023/7/1 11:04,76.5,68,80.4,75,71.8,84.4,3.4,3.4,292,28.82,28.82,591.2,5,0.00,0.32,0.32,0.68,0.32,0.88,8
2023/7/1 11:05,76.5,67,80.4,75,71.8,84.4,2.2,2.2,294,28.82,28.82,592.5,5,0.00,0.32,0.32,0.68,0.32,0.88,8
2023/7/1 11:06,76.5,67,80.4,73,71.1,84.0,1.8,2.2,51,28.82,28.82,592.8,5,0.00,0.32,0.32,0.68,0.32,0.88,8
2023/7/1 11:07,76.5,67,80.8,75,72.1,85.1,1.6,2.2,163,28.82,28.82,588.5,5,0.00,0.32,0.32,0.68,0.32,0.88,12
2023/7/1 11:08,76.5,67,80.8,71,70.5,84.4,4.5,8.1,213,28.82,28.82,583.0,5,0.00,0.32,0.32,0.68,0.32,0.88,12
2023/7/1 11:09,76.5,68,81.0,70,70.3,84.6,3.4,6.9,214,28.82,28.82,570.6,5,0.00,0.32,0.32,0.68,0.32,0.88,12
2023/7/1 11:10,76.3,68,81.0,70,70.3,84.6,2.5,5.8,208,28.82,28.82,558.1,5,0.00,0.32,0.32,0.68,0.32,0.88,12
2023/7/1 11:11,76.5,69,81.0,71,70.7,84.7,1.8,2.2,225,28.82,28.82,549.9,5,0.00,0.32,0.32,0.68,0.32,0.88,12
2023/7/1 11:12,76.5,69,81.0,75,72.3,85.5,1.8,2.2,10,28.82,28.82,536.9,5,0.00,0.32,0.32,0.68,0.32,0.88,12
