Time,Indoor Temperature(℉),Indoor Humidity(%),Outdoor Temperature(℉),Outdoor Humidity(%),Dew Point(℉),Feels Like(℉),Wind(mph),Gust(mph),Wind Direction(°),ABS Pressure(inhg),REL Pressure(inhg),Solar Rad.(w/m2),UVI,Hourly Rain(in),Event Rain(in),Daily Rain(in),Weekly Rain(in),Monthly Rain(in),Yearly Rain(in),Pm2.5(ug/m3)
2023/7/24 10:13,75.0,66,73.2,78,66.0,73.2,2.2,2.2,251,28.94,28.94,333.4,3,0.00,0.00,0.00,0.00,0.78,1.34,8
2023/7/24 10:14,75.0,65,73.2,76,65.1,73.2,1.3,2.2,192,28.94,28.94,336.4,3,0.00,0.00,0.00,0.00,0.78,1.34,8
2023/7/24 10:15,75.2,66,73.4,75,65.1,73.4,4.7,6.9,222,28.94,28.94,344.6,3,0.00,0.00,0.00,0.00,0.78,1.34,8
2023/7/24 10:16,75.2,65,73.4,79,66.6,73.4,0.9,1.1,20,28.94,28.94,351.5,3,0.00,0.00,0.00,0.00,0.78,1.34,8
2023/7/24 10:17,75.4,64,73.4,75,65.1,73.4,3.4,4.5,293,28.95,28.95,358.9,3,0.00,0.00,0.00,0.00,0.78,1.34,8
2023/7/24 10:18,75.4,62,73.6,77,65.8,73.6,2.0,2.2,73,28.94,28.94,363.5,3,0.00,0.00,0.00,0.00,0.78,1.34,8
2023/7/24 10:19,75.4,61,73.8,75,65.5,73.8,4.9,5.8,292,28.94,28.94,369.2,3,0.00,0.00,0.00,0.00,0.78,1.34,8
2023/7/24 10:20,75.2,61,73.6,77,65.8,73.6,2.5,3.4,207,28.94,28.94,375.9,3,0.00,0.00,0.00,0.00,0.78,1.34,8
2023/7/24 10:21,75.2,61,73.6,74,64.8,73.6,5.8,8.1,228,28.94,28.94,388.1,3,0.00,0.00,0.00,0.00,0.78,1.34,8
2023/7/24 10:22,75.2,64,73.6,78,66.4,73.6,1.8,3.4,282,28.94,28.94,391.5,3,0.00,0.00,0.00,0.00,0.78,1.34,8
2023/7/24 10:23,75.0,65,73.6,76,65.5,73.6,3.8,4.5,245,28.94,28.94,398.2,3,0.00,0.00,0.00,0.00,0.78,1.34,8
2023/7/24 10:24,75.0,66,73.6,77,65.8,73.6,1.6,2.2,45,28.94,28.94,402.3,3,0.00,0.00,0.00,0.00,0.78,1.34,8
2023/7/24 10:25,75.0,66,73.6,76,65.5,73.6,2.2,2.2,309,28.93,28.93,406.6,3,0.00,0.00,0.00,0.00,0.78,1.34,8
2023/7/24 10:26,75.0,66,73.9,74,65.1,73.9,5.4,6.9,246,28.94,28.94,415.2,4,0.00,0.00,0.00,0.00,0.78,1.34,10
2023/7/24 10:27,75.2,66,73.9,76,65.8,73.9,2.7,3.4,263,28.94,28.94,418.2,4,0.00,0.00,0.00,0.00,0.78,1.34,10
2023/7/24 10:28,75.2,66,73.6,75,65.3,73.6,3.6,4.5,272,28.94,28.94,422.7,4,0.00,0.00,0.00,0.00,0.78,1.34,10
2023/7/24 10:29,75.2,67,73.6,77,65.8,73.6,3.4,4.5,257,28.94,28.94,427.9,4,0.00,0.00,0.00,0.00,0.78,1.34,10
2023/7/24 10:30,75.2,67,73.8,78,66.6,73.8,2.2,3.4,288,28.94,28.94,434.7,4,0.00,0.00,0.00,0.00,0.78,1.34,10
2023/7/24 10:31,75.2,67,73.9,76,65.8,73.9,4.3,5.8,281,28.94,28.94,438.9,4,0.00,0.00,0.00,0.00,0.78,1.34,10
2023/7/24 10:32,75.2,67,73.9,76,65.8,73.9,4.3,5.8,283,28.94,28.94,443.2,4,0.00,0.00,0.00,0.00,0.78,1.34,10
2023/7/24 10:33,75.4,67,73.9,75,65.7,73.9,1.8,2.2,56,28.94,28.94,447.0,4,0.00,0.00,0.00,0.00,0.78,1.34,10
2023/7/24 10:34,75.4,67,73.9,75,65.7,73.9,3.1,4.5,211,28.94,28.94,463.4,4,0.00,0.00,0.00,0.00,0.78,1.34,10
2023/7/24 10:35,75.4,66,74.1,75,65.8,74.1,2.0,2.2,91,28.93,28.93,467.5,4,0.00,0.00,0.00,0.00,0.78,1.34,10
2023/7/24 10:36,75.4,64,74.1,76,66.0,74.1,1.1,2.2,17,28.94,28.94,472.0,4,0.00,0.00,0.00,0.00,0.78,1.34,10
2023/7/24 10:37,75.4,63,74.5,75,66.0,74.5,2.7,3.4,197,28.94,28.94,479.0,4,0.00,0.00,0.00,0.00,0.78,1.34,10
