Time,Indoor Temperature(℉),Indoor Humidity(%),Outdoor Temperature(℉),Outdoor Humidity(%),Dew Point(℉),Feels Like(℉),Wind(mph),Gust(mph),Wind Direction(°),ABS Pressure(mmhg),REL Pressure(mmhg),Solar Rad.(w/m2),UVI,Hourly Rain(in),Event Rain(in),Daily Rain(in),Weekly Rain(in),Monthly Rain(in),Yearly Rain(in),Pm2.5(ug/m3)
2023/6/26 10:10,75.0,67,69.3,84,64.2,69.3,3.4,4.5,214,724.3,724.3,80.7,0,0.00,0.00,0.02,0.02,0.22,0.22,--
2023/6/26 10:15,74.8,66,69.1,85,64.4,69.1,1.3,2.2,211,724.3,724.3,121.9,1,0.00,0.00,0.02,0.02,0.22,0.22,--
2023/6/26 10:20,75.0,65,69.3,83,63.9,69.3,3.4,4.5,217,724.3,724.3,121.1,1,0.00,0.00,0.02,0.02,0.22,0.22,--
2023/6/26 10:25,75.0,65,69.6,83,64.2,69.6,1.3,2.2,199,724.3,724.3,179.9,1,0.00,0.00,0.02,0.02,0.22,0.22,--
2023/6/26 10:30,75.0,63,70.2,81,64.0,70.2,0.7,1.1,149,724.1,724.1,246.1,2,0.00,0.00,0.02,0.02,0.22,0.22,--
2023/6/26 10:35,74.8,66,70.9,81,64.8,70.9,1.3,2.2,283,724.3,724.3,217.9,2,0.00,0.00,0.02,0.02,0.22,0.22,--
2023/6/26 10:40,75.0,66,71.1,81,64.9,71.1,1.1,1.1,227,724.3,724.3,141.5,1,0.00,0.00,0.02,0.02,0.22,0.22,--
2023/6/26 10:45,75.0,66,71.6,79,64.8,71.6,2.0,4.5,223,724.0,724.0,327.3,3,0.00,0.00,0.02,0.02,0.22,0.22,--
2023/6/26 10:50,75.0,65,71.8,80,65.3,71.8,0.9,1.1,338,724.0,724.0,175.9,1,0.00,0.00,0.02,0.02,0.22,0.22,--
2023/6/26 10:55,75.0,64,71.6,78,64.4,71.6,2.9,4.5,249,724.0,724.0,197.1,1,0.00,0.00,0.02,0.02,0.22,0.22,--
2023/6/26 11:00,75.2,65,71.1,76,63.1,71.1,2.9,3.4,299,724.0,724.0,220.9,2,0.00,0.00,0.02,0.02,0.22,0.22,--
2023/6/26 11:05,75.2,64,71.8,78,64.6,71.8,1.8,2.2,170,724.0,724.0,236.6,2,0.00,0.00,0.02,0.02,0.22,0.22,--
2023/6/26 11:10,75.2,62,71.8,77,64.2,71.8,2.5,3.4,204,724.0,724.0,394.6,3,0.00,0.00,0.02,0.02,0.22,0.22,--
2023/6/26 11:15,75.2,65,73.8,71,63.9,73.8,4.3,6.9,158,724.0,724.0,914.7,8,0.00,0.00,0.02,0.02,0.22,0.22,--
2023/6/26 11:20,75.2,65,74.7,71,64.8,74.7,2.2,3.4,312,723.7,723.7,891.8,8,0.00,0.00,0.02,0.02,0.22,0.22,--
2023/6/26 11:25,75.2,65,74.1,72,64.6,74.1,2.2,3.4,232,723.7,723.7,188.2,1,0.00,0.00,0.02,0.02,0.22,0.22,--
2023/6/26 11:30,75.2,64,73.4,69,62.6,73.4,6.3,8.1,171,723.8,723.8,787.3,7,0.00,0.00,0.02,0.02,0.22,0.22,--
2023/6/26 11:35,75.2,64,73.9,67,62.2,73.9,5.6,6.9,139,723.7,723.7,780.6,7,0.00,0.00,0.02,0.02,0.22,0.22,--
2023/6/26 11:40,75.2,64,75.0,67,63.3,75.0,6.5,10.3,92,724.0,724.0,826.1,8,0.00,0.00,0.02,0.02,0.22,0.22,--
2023/6/26 11:45,75.2,64,75.9,65,63.3,75.9,8.5,12.5,197,723.7,723.7,904.0,8,0.00,0.00,0.02,0.02,0.22,0.22,--
2023/6/26 11:50,75.2,65,75.4,66,63.3,75.4,4.9,6.9,216,723.7,723.7,629.1,6,0.00,0.00,0.02,0.02,0.22,0.22,--
2023/6/26 11:55,75.2,65,76.1,67,64.4,76.1,4.5,5.8,200,723.6,723.6,628.7,6,0.00,0.00,0.02,0.02,0.22,0.22,--
2023/6/26 12:00,75.2,62,74.1,67,62.4,74.1,4.9,6.9,98,723.7,723.7,187.6,1,0.00,0.00,0.02,0.02,0.22,0.22,--
2023/6/26 12:05,75.0,62,74.3,66,62.2,74.3,5.8,6.9,201,723.7,723.7,314.9,3,0.00,0.00,0.02,0.02,0.22,0.22,--
2023/6/26 12:10,74.8,61,73.6,68,62.4,73.6,2.2,4.5,197,723.7,723.7,322.6,3,0.00,0.00,0.02,0.02,0.22,0.22,--
2023/6/26 12:15,74.8,63,73.6,68,62.4,73.6,3.8,5.8,151,723.7,723.7,98.6,0,0.00,0.00,0.02,0.02,0.22,0.22,--
2023/6/26 12:20,75.0,65,72.5,70,62.2,72.5,2.2,3.4,244,723.7,723.7,183.3,1,0.00,0.00,0.02,0.02,0.22,0.22,--
2023/6/26 12:25,75.2,65,72.9,68,61.7,72.9,4.5,9.2,8,723.7,723.7,182.8,1,0.00,0.00,0.02,0.02,0.22,0.22,--
2023/6/26 12:30,75.2,63,72.5,68,61.3,72.5,3.8,4.5,190,723.7,723.7,282.2,2,0.00,0.00,0.02,0.02,0.22,0.22,--
2023/6/26 12:35,75.2,65,73.0,69,62.2,73.0,1.8,3.4,338,723.7,723.7,162.8,1,0.00,0.00,0.02,0.02,0.22,0.22,--
2023/6/26 12:40,75.2,65,73.2,70,63.0,73.2,2.2,3.4,172,723.7,723.7,120.5,1,0.00,0.00,0.02,0.02,0.22,0.22,--
2023/6/26 12:45,75.4,65,72.7,72,63.1,72.7,0.7,1.1,312,723.6,723.6,136.0,1,0.00,0.00,0.02,0.02,0.22,0.22,--
2023/6/26 12:50,75.2,62,72.9,70,62.6,72.9,1.1,2.2,21,723.6,723.6,119.9,1,0.00,0.00,0.02,0.02,0.22,0.22,--
2023/6/26 12:55,75.2,64,72.7,74,64.0,72.7,0.7,1.1,312,723.7,723.7,133.0,1,0.00,0.00,0.02,0.02,0.22,0.22,--
